TIMESTAMPS,COUNTS_c/s,HT_Voltage,TEMPERATURE_C
2025-12-06 12:37:53,"+25.00015E+03
",,00
2025-12-06 12:37:54,"+25.00015E+03
",,00
2025-12-06 12:37:55,"+25.00015E+03
",,00
2025-12-06 12:37:56,"+25.00015E+03
",,00
2025-12-06 12:37:57,"+25.00015E+03
",,00
2025-12-06 12:37:58,"+25.00015E+03
",,00
2025-12-06 12:37:59,"+25.00015E+03
",,00
2025-12-06 12:38:00,"+25.00015E+03
",,00
2025-12-06 12:38:01,"+25.00015E+03
",,00
2025-12-06 12:38:02,"+25.00015E+03
",,00
2025-12-06 12:38:03,"+25.00015E+03
",,00
2025-12-06 12:38:04,"+25.00015E+03
",,00
2025-12-06 12:38:05,"+25.00015E+03
",,00
2025-12-06 12:38:06,"+25.00015E+03
",,00
2025-12-06 12:38:07,"+25.00015E+03
",,00
2025-12-06 12:38:08,"+25.00015E+03
",,00
2025-12-06 12:38:09,"+25.00015E+03
",,00
2025-12-06 12:38:10,"+25.00015E+03
",,00
2025-12-06 12:38:11,"+25.00015E+03
",,00
2025-12-06 12:38:12,"+25.00015E+03
",,00
2025-12-06 12:38:13,"+25.00015E+03
",,00
2025-12-06 12:38:14,"+25.00015E+03
",,00
2025-12-06 12:38:15,"+25.00015E+03
",,00
2025-12-06 12:38:16,"+25.00015E+03
",,00
2025-12-06 12:38:17,"+25.00015E+03
",,00
2025-12-06 12:38:18,"+25.00015E+03
",,00
2025-12-06 12:38:19,"+25.00015E+03
",,00
2025-12-06 12:38:20,"+25.00015E+03
",,00
2025-12-06 12:38:21,"+25.00015E+03
",,00
2025-12-06 12:38:22,"+25.00015E+03
",,00
2025-12-06 12:38:23,"+25.00015E+03
",,00
2025-12-06 12:38:24,"+25.00015E+03
",,00
2025-12-06 12:38:25,"+25.00015E+03
",,00
2025-12-06 12:38:26,"+25.00015E+03
",,00
2025-12-06 12:38:27,"+25.00015E+03
",,00
2025-12-06 12:38:28,"+25.00015E+03
",,00
