TIMESTAMPS,COUNTS_c/s,HT_Voltage,TEMPERATURE_C
2025-12-06 12:27:50,"+7.50023E+03
",1000,20
2025-12-06 12:27:51,"+7.50023E+03
",1000,20
2025-12-06 12:27:52,"+7.50023E+03
",1000,20
2025-12-06 12:27:53,"+7.50023E+03
",1000,20
2025-12-06 12:27:54,"+7.50023E+03
",1000,20
2025-12-06 12:27:55,"+7.50023E+03
",1000,20
2025-12-06 12:27:56,"+7.50023E+03
",1000,20
2025-12-06 12:27:57,"+7.50023E+03
",1000,20
2025-12-06 12:27:58,"+7.50023E+03
",1000,20
2025-12-06 12:27:59,"+7.50023E+03
",1000,20
2025-12-06 12:28:00,"+6.79999E+03
",1000,20
2025-12-06 12:28:01,"+5.90009E+03
",1000,20
2025-12-06 12:28:02,"+5.69999E+03
",1000,20
2025-12-06 12:28:03,"+5.69999E+03
",1000,20
2025-12-06 12:28:04,"+5.69999E+03
",1000,20
2025-12-06 12:28:05,"+5.69999E+03
",1000,20
2025-12-06 12:28:06,"+5.69999E+03
",1000,20
2025-12-06 12:28:07,"+5.69999E+03
",1000,20
2025-12-06 12:28:08,"+5.69999E+03
",1000,20
2025-12-06 12:28:09,"+5.69999E+03
",1000,20
2025-12-06 12:28:10,"+5.69999E+03
",1000,20
2025-12-06 12:28:11,"+5.69999E+03
",1000,20
2025-12-06 12:28:12,"+5.69999E+03
",1000,20
2025-12-06 12:28:13,"+5.69999E+03
",1000,20
2025-12-06 12:28:14,"+5.69999E+03
",1000,20
2025-12-06 12:28:15,"+5.69999E+03
",1000,20
2025-12-06 12:28:16,"+5.69999E+03
",1000,20
2025-12-06 12:28:17,"+5.69999E+03
",1000,20
2025-12-06 12:28:18,"+5.69999E+03
",1000,-20
2025-12-06 12:28:19,"+5.69999E+03
",1000,-20
2025-12-06 12:28:20,"+5.69999E+03
",1,-20
2025-12-06 12:28:21,"+5.69999E+03
",1500,-20
2025-12-06 12:28:22,"+5.69999E+03
",1500,-20
2025-12-06 12:28:23,"+5.69999E+03
",1500,-20
2025-12-06 12:28:24,"+5.69999E+03
",1500,-20
2025-12-06 12:28:25,"+5.69999E+03
",1500,-20
2025-12-06 12:28:26,"+5.69999E+03
",1500,-20
2025-12-06 12:28:27,"+5.69999E+03
",1500,-20
2025-12-06 12:28:28,"+5.69999E+03
",1500,-20
2025-12-06 12:28:29,"+5.69999E+03
",1500,-20
2025-12-06 12:28:30,"+5.69999E+03
",1500,-20
2025-12-06 12:28:31,"+5.69999E+03
",1500,-20
2025-12-06 12:28:32,"+5.69999E+03
",1500,-20
2025-12-06 12:28:33,"+5.69999E+03
",1500,-20
2025-12-06 12:28:34,"+5.69999E+03
",1500,-20
2025-12-06 12:28:35,"+5.69999E+03
",1500,-20
2025-12-06 12:28:36,"+5.69999E+03
",1500,-20
2025-12-06 12:28:37,"+5.69999E+03
",1500,-20
2025-12-06 12:28:38,"+5.69999E+03
",1500,-20
2025-12-06 12:28:39,"+5.69999E+03
",1500,-20
2025-12-06 12:28:40,"+5.69999E+03
",1500,-20
2025-12-06 12:28:41,"+5.69999E+03
",1500,-20
2025-12-06 12:28:42,"+5.69999E+03
",1500,-20
2025-12-06 12:28:43,"+5.69999E+03
",1500,-20
2025-12-06 12:28:44,"+5.69999E+03
",1500,-20
2025-12-06 12:28:45,"+5.69999E+03
",1500,-20
2025-12-06 12:28:46,"+5.69999E+03
",1500,-20
2025-12-06 12:28:47,"+5.69999E+03
",1500,-20
2025-12-06 12:28:48,"+5.69999E+03
",1500,-20
2025-12-06 12:28:49,"+5.69999E+03
",1500,-20
2025-12-06 12:28:50,"+5.69999E+03
",1500,-20
2025-12-06 12:28:51,"+5.69999E+03
",1500,-20
2025-12-06 12:28:52,"+5.69999E+03
",1500,-20
2025-12-06 12:28:53,"+5.69999E+03
",1500,-20
2025-12-06 12:28:54,"+5.69999E+03
",1500,-20
2025-12-06 12:28:55,"+5.69999E+03
",1500,-20
2025-12-06 12:28:56,"+5.69999E+03
",1500,-20
2025-12-06 12:28:57,"+5.69999E+03
",1500,-20
2025-12-06 12:28:58,"+5.69999E+03
",1500,-20
2025-12-06 12:28:59,"+5.69999E+03
",1500,-20
2025-12-06 12:29:00,"+5.69999E+03
",1500,-20
2025-12-06 12:29:01,"+5.69999E+03
",1500,-20
2025-12-06 12:29:03,"+5.69999E+03
",1500,-20
2025-12-06 12:29:03,"+5.69999E+03
",1500,-20
2025-12-06 12:29:04,"+5.69999E+03
",1500,-20
2025-12-06 12:29:05,"+5.69999E+03
",1500,-20
2025-12-06 12:29:06,"+5.69999E+03
",1500,-20
2025-12-06 12:29:08,"+5.69999E+03
",1500,-20
2025-12-06 12:29:09,"+5.69999E+03
",1500,-20
2025-12-06 12:29:10,"+5.69999E+03
",1500,-20
2025-12-06 12:29:11,"+5.69999E+03
",1500,-20
2025-12-06 12:29:12,"+5.69999E+03
",1500,-20
2025-12-06 12:29:13,"+5.69999E+03
",1500,-20
2025-12-06 12:29:14,"+5.69999E+03
",1500,-20
2025-12-06 12:29:15,"+5.69999E+03
",1500,-20
2025-12-06 12:29:16,"+5.69999E+03
",1500,-20
2025-12-06 12:29:17,"+5.69999E+03
",1500,-20
2025-12-06 12:29:18,"+5.69999E+03
",1500,-20
