TIMESTAMPS,COUNTS_c/s,HT_Voltage,TEMPERATURE_C
2025-12-06 12:20:19,"+9.2998E+03
",1000,20
2025-12-06 12:20:20,"+9.2998E+03
",1000,20
2025-12-06 12:20:21,"+9.2998E+03
",1000,20
2025-12-06 12:20:22,"+9.2998E+03
",1000,20
2025-12-06 12:20:23,"+9.2998E+03
",1000,20
2025-12-06 12:20:24,"+9.2998E+03
",1000,20
2025-12-06 12:20:25,"+9.2998E+03
",1000,20
2025-12-06 12:20:26,"+9.2998E+03
",1000,20
2025-12-06 12:20:27,"+9.2998E+03
",1000,20
2025-12-06 12:20:28,"+9.2998E+03
",1000,20
2025-12-06 12:20:29,"+9.2998E+03
",1000,20
2025-12-06 12:20:30,"+9.2998E+03
",1000,20
2025-12-06 12:20:31,"+9.2998E+03
",1000,20
2025-12-06 12:20:32,"+9.2998E+03
",1000,20
2025-12-06 12:20:33,"+9.2998E+03
",1000,20
2025-12-06 12:20:34,"+9.2998E+03
",1000,20
2025-12-06 12:20:35,"+9.3001E+03
",1000,20
2025-12-06 12:20:36,"+9.2998E+03
",1000,20
2025-12-06 12:20:37,"+9.1001E+03
",1000,20
2025-12-06 12:20:38,"+8.6000E+03
",1000,20
2025-12-06 12:20:39,"+8.3003E+03
",1000,20
2025-12-06 12:20:40,"+8.3003E+03
",1000,20
2025-12-06 12:20:41,"+8.3003E+03
",1000,20
2025-12-06 12:20:42,"+8.3003E+03
",1000,20
2025-12-06 12:20:43,"+7.6000E+03
",1000,20
2025-12-06 12:20:44,"+7.5003E+03
",1000,20
2025-12-06 12:20:45,"+7.5003E+03
",1000,20
2025-12-06 12:20:46,"+7.5003E+03
",1000,20
2025-12-06 12:20:47,"+7.5003E+03
",1000,20
2025-12-06 12:20:48,"+7.5003E+03
",1000,20
2025-12-06 12:20:49,"+7.5003E+03
",1000,00
2025-12-06 12:20:50,"+7.5003E+03
",1000,00
2025-12-06 12:20:51,"+7.5003E+03
",1000,00
2025-12-06 12:20:52,"+7.5003E+03
",1000,00
2025-12-06 12:20:53,"+7.5003E+03
",1000,00
2025-12-06 12:20:54,"+7.5003E+03
",1000,00
2025-12-06 12:20:55,"+7.5003E+03
",1000,00
2025-12-06 12:20:56,"+7.5003E+03
",1000,00
2025-12-06 12:20:57,"+7.5003E+03
",1000,00
2025-12-06 12:20:58,"+7.5003E+03
",1000,00
2025-12-06 12:20:59,"+7.5003E+03
",1000,00
2025-12-06 12:21:00,"+7.5003E+03
",1000,00
2025-12-06 12:21:01,"+7.5003E+03
",1,00
2025-12-06 12:21:02,"+7.5003E+03
",150,00
2025-12-06 12:21:03,"+7.5003E+03
",1500,00
2025-12-06 12:21:04,"+7.5003E+03
",1500,00
2025-12-06 12:21:05,"+7.5003E+03
",1500,00
2025-12-06 12:21:06,"+7.5003E+03
",1500,00
2025-12-06 12:21:07,"+7.5003E+03
",1500,00
