TIMESTAMPS,COUNTS_c/s,HT_Voltage,TEMPERATURE_C
2025-12-06 12:48:47,25000,1000,20
2025-12-06 12:48:48,25000,1000,20
2025-12-06 12:48:49,25000,1000,20
2025-12-06 12:48:50,25000,1000,20
2025-12-06 12:48:51,25000,1000,20
2025-12-06 12:48:52,25000,1000,20
2025-12-06 12:48:53,25000,1000,20
2025-12-06 12:48:54,25000,1000,20
2025-12-06 12:48:55,25000,1000,20
2025-12-06 12:48:56,25000,1000,20
2025-12-06 12:48:57,24987,1000,20
2025-12-06 12:48:58,24987,1000,20
2025-12-06 12:48:59,24987,1000,20
2025-12-06 12:49:00,24987,1000,20
2025-12-06 12:49:01,24987,1000,20
2025-12-06 12:49:02,24987,1000,20
2025-12-06 12:49:03,24987,1000,20
2025-12-06 12:49:04,31000,1000,20
2025-12-06 12:49:05,69000,1000,20
2025-12-06 12:49:06,520003,1000,20
2025-12-06 12:49:07,880005,1000,20
2025-12-06 12:49:08,970005,1000,20
2025-12-06 12:49:09,1800012,1000,20
2025-12-06 12:49:10,3400020,1000,20
2025-12-06 12:49:11,5000030,1000,20
2025-12-06 12:49:12,7800050,1000,20
2025-12-06 12:49:13,8200040,1000,20
2025-12-06 12:49:14,8600050,1000,20
2025-12-06 12:49:15,8900050,1000,20
2025-12-06 12:49:16,9000050,1000,20
2025-12-06 12:49:17,9500050,1000,20
2025-12-06 12:49:18,9700050,1000,20
2025-12-06 12:49:19,9900060,1000,20
2025-12-06 12:49:20,10000060,1000,20
2025-12-06 12:49:21,10000060,1000,20
2025-12-06 12:49:22,10000060,1000,20
2025-12-06 12:49:23,10000060,1000,20
2025-12-06 12:49:24,460003,1000,20
2025-12-06 12:49:25,49000,1000,20
2025-12-06 12:49:26,30000,1000,20
2025-12-06 12:49:27,29000,1000,20
2025-12-06 12:49:28,20000,1000,20
2025-12-06 12:49:29,9599,1000,20
2025-12-06 12:49:30,8700,1000,20
2025-12-06 12:49:31,8200,1000,20
2025-12-06 12:49:32,7199,1000,20
2025-12-06 12:49:33,6700,1000,20
2025-12-06 12:49:34,4400,1000,20
2025-12-06 12:49:35,1699,1000,20
2025-12-06 12:49:36,840,1000,20
2025-12-06 12:49:37,730,1000,20
2025-12-06 12:49:38,700,1000,20
2025-12-06 12:49:39,700,1000,20
2025-12-06 12:49:40,700,1000,20
2025-12-06 12:49:41,700,1000,20
2025-12-06 12:49:42,700,1000,20
2025-12-06 12:49:43,700,1000,20
2025-12-06 12:49:44,700,1000,20
2025-12-06 12:49:45,700,1000,20
2025-12-06 12:49:46,700,1000,20
2025-12-06 12:49:47,700,1000,20
2025-12-06 12:49:48,700,1000,20
2025-12-06 12:49:49,700,1000,20
2025-12-06 12:49:50,700,1000,20
2025-12-06 12:49:51,700,1000,20
2025-12-06 12:49:52,700,1000,20
2025-12-06 12:49:53,700,1000,20
2025-12-06 12:49:54,700,1000,20
2025-12-06 12:49:55,700,1000,20
2025-12-06 12:49:56,700,1000,20
2025-12-06 12:49:57,700,1000,20
2025-12-06 12:49:58,700,1000,20
2025-12-06 12:49:59,700,1000,20
2025-12-06 12:50:00,700,1000,20
2025-12-06 12:50:01,700,1000,20
2025-12-06 12:50:02,700,1000,20
